"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2011S000232,-1,Desconegut,-1--1--1,Desconegut,-1,Desconegut,Desconegut,Dijous,4,Laboral,2011,1,Gener,13,15,Tarda,Desconegut,0,1,0,1,2,-1,-1
2011S000692,-1,Desconegut,-1--1--1,Desconegut,-1,Desconegut,Desconegut,Dimecres,3,Laboral,2011,2,Febrer,2,11,Matí,"Desobeir el senyal del semàfor",0,1,0,1,1,-1,-1
2011S007125,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",209900,Meridiana,"0189 0189",Divendres,5,Laboral,2011,10,Octubre,21,16,Tarda,Desconegut,0,1,0,1,2,"4585070,71","432021,86"
2011S007688,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",209900,Meridiana,"0201 0201",Dilluns,1,Laboral,2011,11,Novembre,14,19,Tarda,Desconegut,0,1,0,1,2,"4585164,43","432022,53"
2011S000334,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",161407,Indústria,"0275 0277",Dimarts,2,Laboral,2011,1,Gener,18,12,Matí,Desconegut,0,1,0,1,2,"4585097,87","431520,25"
2011S007926,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",194406,Maragall,"0044 0046",Dijous,4,Laboral,2011,11,Novembre,24,09,Matí,Desconegut,0,1,0,1,2,"4585201,16","431537,33"
2011S001385,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",90502,Còrsega,"0697 0699",Dilluns,1,Laboral,2011,2,Febrer,28,09,Matí,Desconegut,0,1,0,1,2,"4584871,61","431493,55"
2011S002330,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",268003,Provença,"0575 0575",Dilluns,1,Laboral,2011,4,Abril,4,21,Tarda,Desconegut,0,2,0,2,2,"4584593,09","431616,77"
2011S000043,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",700018,"Heroïnes de Girona","9999 9999",Dilluns,1,Laboral,2011,1,Gener,3,20,Tarda,Altres,0,1,0,1,1,"4584593,54","431423,24"
2011S004869,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",191204,Mallorca,"0548 0548",Divendres,5,Laboral,2011,7,Juliol,15,19,Tarda,Desconegut,0,1,0,1,2,"4584468,38","431696,44"
2011S004602,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",191204,Mallorca,"0556 0556",Dimecres,3,Laboral,2011,7,Juliol,6,08,Matí,Desconegut,0,1,0,1,2,"4584509,37","431738,90"
2011S004641,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",161101,Independència,"0321 0321",Dijous,4,Laboral,2011,7,Juliol,7,16,Tarda,Desconegut,0,1,0,1,2,"4584508,07","431573,78"
2011S006967,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",286300,Rogent,"0001 0001",Dissabte,6,Laboral,2011,10,Octubre,15,20,Tarda,Desconegut,0,1,0,1,2,"4584433,32","432003,67"
2011S001877,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",134801,Freser,"0134 0134",Dissabte,6,Laboral,2011,3,Març,19,21,Tarda,Desconegut,0,2,0,2,2,"4584960,32","431583,65"
2011S002073,10,"Sant Martí",102-10-72,"Sant Martí de Provençals",322608,"Selva de Mar","0231 0231",Dissabte,6,Laboral,2011,3,Març,26,00,Nit,Desconegut,0,1,0,1,2,"4585340,39","433002,19"
2011S005188,10,"Sant Martí",102-10-72,"Sant Martí de Provençals",153205,Guipúscoa,"0041 0041",Divendres,5,Laboral,2011,7,Juliol,29,18,Tarda,Desconegut,0,1,0,1,2,"4585178,69","432758,53"
2011S004647,10,"Sant Martí",102-10-72,"Sant Martí de Provençals",208205,Menorca,"0006 0006",Dijous,4,Laboral,2011,7,Juliol,7,17,Tarda,Desconegut,0,1,0,1,1,"4585382,46","432633,10"
2011S002125,10,"Sant Martí",102-10-72,"Sant Martí de Provençals",322608,"Selva de Mar","0255 0255",Dilluns,1,Laboral,2011,3,Març,28,22,Nit,Desconegut,0,2,0,2,2,"4585474,52","432867,27"
2011S008231,10,"Sant Martí",102-10-72,"Sant Martí de Provençals",15201,Andrade,"0132 0132",Dimarts,2,Laboral,2011,12,Desembre,6,20,Tarda,Desconegut,0,1,0,1,2,"4585159,49","433166,94"
2011S000763,10,"Sant Martí",101-10-65,"el Clot",81603,Clot,"0035 0035",Divendres,5,Laboral,2011,2,Febrer,4,17,Tarda,Desconegut,0,0,0,0,1,"4584281,77","432115,16"
2011S004089,10,"Sant Martí",102-10-72,"Sant Martí de Provençals",169409,"Corts Catalanes","1025 1027",Dimecres,3,Laboral,2011,6,Juny,15,15,Tarda,Desconegut,0,1,0,1,2,"4585025,16","433153,64"
2011S007033,10,"Sant Martí",101-10-65,"el Clot",209900,Meridiana,"0103 0103",Dimarts,2,Laboral,2011,10,Octubre,18,22,Nit,Altres,0,1,0,1,1,"4584319,18","432011,39"
2011S003837,10,"Sant Martí",101-10-65,"el Clot",18505,Aragó,"0643 0645",Diumenge,7,Laboral,2011,6,Juny,5,07,Matí,Desconegut,0,1,0,1,4,"4584746,84","432317,11"
2011S003524,10,"Sant Martí",101-10-65,"el Clot",42306,Bilbao,"0241 0241",Dimarts,2,Laboral,2011,5,Maig,24,22,Nit,Desconegut,0,2,0,2,2,"4584767,38","432433,25"
2011S007655,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",191204,Mallorca,"0599 0599",Diumenge,7,Laboral,2011,11,Novembre,13,13,Matí,Desconegut,0,1,0,1,2,"4584768,61","431970,74"
2011S005863,10,"Sant Martí",102-10-73,"la Verneda i la Pau",266405,Prim,"0192 0194",Dimarts,2,Laboral,2011,9,Setembre,6,06,Matí,Desconegut,0,2,0,2,2,"4585931,79","433603,70"
2011S003456,10,"Sant Martí",102-10-73,"la Verneda i la Pau",266405,Prim,"0159 0159",Dissabte,6,Laboral,2011,5,Maig,21,23,Nit,"Desobeir el senyal del semàfor",0,1,0,1,1,"4585888,56","433559,58"
2011S003627,10,"Sant Martí",102-10-73,"la Verneda i la Pau",318906,Santander,"0058 0058",Dissabte,6,Laboral,2011,5,Maig,28,00,Nit,Desconegut,0,0,0,0,2,"4586683,16","433467,85"
2011S006619,10,"Sant Martí",102-10-72,"Sant Martí de Provençals",153205,Guipúscoa,0102I0102I,Dilluns,1,Laboral,2011,10,Octubre,3,11,Matí,"Creuar per fora pas de vianants",1,0,0,1,1,"4585592,84","433241,97"
2011S003817,10,"Sant Martí",103-10-70,"el Besòs i el Maresme",144601,Diagonal,"0008 0008",Dissabte,6,Laboral,2011,6,Juny,4,15,Tarda,"Desobeir el senyal del semàfor",0,3,0,3,1,"4584712,22","434612,05"
2011S005729,10,"Sant Martí",103-10-71,"Provençals del Poblenou",143609,"Josep Pla","0107 0107",Dimarts,2,Laboral,2011,8,Agost,30,23,Nit,Desconegut,0,1,0,1,1,"4584912,67","433973,86"
2011S006637,10,"Sant Martí",104-10-68,"el Poblenou",700755,Poblenou,"9999 9999",Dimarts,2,Laboral,2011,10,Octubre,4,04,Nit,Desconegut,0,1,0,1,1,"4582903,53","433491,70"
2011S008535,10,"Sant Martí",104-10-68,"el Poblenou",700662,"Salvador Espriu","0097 0097",Dilluns,1,Laboral,2011,12,Desembre,19,14,Tarda,Desconegut,0,1,0,1,2,"4582749,28","433386,70"
2011S005110,10,"Sant Martí",104-10-68,"el Poblenou",183603,Llacuna,"0061 0061",Dimecres,3,Laboral,2011,7,Juliol,27,03,Nit,"Transitar a peu per la calçada",0,2,0,2,1,"4583562,75","433054,03"
2011S005713,10,"Sant Martí",103-10-71,"Provençals del Poblenou",115603,Espronceda,"0194 0194",Dimarts,2,Laboral,2011,8,Agost,30,06,Matí,Desconegut,0,1,0,1,3,"4584622,85","432983,65"
2011S005524,10,"Sant Martí",103-10-71,"Provençals del Poblenou",701414,C-31,020750000,Dimarts,2,Laboral,2011,8,Agost,16,17,Tarda,Desconegut,0,0,0,0,2,"4585044,97","433272,71"
2011S006127,10,"Sant Martí",103-10-71,"Provençals del Poblenou",244800,Paraguai,"0042 0042",Divendres,5,Laboral,2011,9,Setembre,16,05,Nit,Desconegut,0,1,0,1,2,"4585416,41","433856,63"
2011S008303,10,"Sant Martí",103-10-71,"Provençals del Poblenou",701414,C-31,020710000,Dissabte,6,Laboral,2011,12,Desembre,10,12,Matí,Desconegut,0,1,0,1,2,"4584767,14","432988,19"
2011S007279,10,"Sant Martí",103-10-71,"Provençals del Poblenou",701414,C-31,020640000,Divendres,5,Laboral,2011,10,Octubre,28,09,Matí,Desconegut,0,1,0,1,2,"4584277,37","432482,54"
2011S006994,10,"Sant Martí",103-10-71,"Provençals del Poblenou",73707,Castella,"0030 0038",Dilluns,1,Laboral,2011,10,Octubre,17,15,Tarda,Desconegut,0,0,0,0,2,"4584158,15","432882,37"
2011S007093,10,"Sant Martí",103-10-71,"Provençals del Poblenou",115603,Espronceda,0161X0161X,Dijous,4,Laboral,2011,10,Octubre,20,20,Tarda,Desconegut,0,1,0,1,3,"4584348,26","433231,95"
2011S002574,10,"Sant Martí",103-10-71,"Provençals del Poblenou",249304,"Pere IV",0288X0288X,Dimecres,3,Laboral,2011,4,Abril,13,19,Tarda,"Desobeir el senyal del semàfor",0,1,0,1,1,"4584228,35","433215,45"
2011S005172,10,"Sant Martí",104-10-69,"Diagonal Mar i el Front Marítim del Poblenou",30409,"Bac de Roda",0072U0072U,Divendres,5,Laboral,2011,7,Juliol,29,13,Matí,Desconegut,0,1,0,1,2,"4584171,23","433614,91"
2011S002530,10,"Sant Martí",104-10-69,"Diagonal Mar i el Front Marítim del Poblenou",30409,"Bac de Roda",0098X0098X,Dimarts,2,Laboral,2011,4,Abril,12,18,Tarda,Desconegut,0,1,0,1,2,"4584310,62","433477,86"
2011S002484,10,"Sant Martí",104-10-68,"el Poblenou",346800,Poblenou,"0113 0113",Dilluns,1,Laboral,2011,4,Abril,11,11,Matí,Desconegut,0,0,0,0,1,"4583820,41","432992,83"
2011S001225,10,"Sant Martí",104-10-68,"el Poblenou",144601,Diagonal,"0137 0137",Dilluns,1,Laboral,2011,2,Febrer,21,18,Tarda,Desconegut,0,1,0,1,2,"4584141,97","433033,58"
2011S005725,10,"Sant Martí",105-10-66,"el Parc i la Llacuna del Poblenou",271100,Pujades,"0025 0025",Dimarts,2,Laboral,2011,8,Agost,30,20,Tarda,Desconegut,0,2,0,2,1,"4582469,42","431917,45"
2011S002108,10,"Sant Martí",105-10-66,"el Parc i la Llacuna del Poblenou",197302,Marina,"0114 0116",Dilluns,1,Laboral,2011,3,Març,28,14,Tarda,Desconegut,0,1,0,1,2,"4582910,42","432063,23"
2011S004895,10,"Sant Martí",104-10-69,"Diagonal Mar i el Front Marítim del Poblenou",30409,"Bac de Roda",0001X0001X,Diumenge,7,Laboral,2011,7,Juliol,17,03,Nit,Desconegut,0,2,0,2,2,"4583663,86","434068,68"
2011S005523,10,"Sant Martí",104-10-69,"Diagonal Mar i el Front Marítim del Poblenou",143609,"Josep Pla","0002 0020",Dimarts,2,Laboral,2011,8,Agost,16,19,Tarda,Desconegut,0,1,0,1,2,"4584271,90","434642,40"
2011S007970,10,"Sant Martí",105-10-66,"el Parc i la Llacuna del Poblenou",249304,"Pere IV","0115 0115",Divendres,5,Laboral,2011,11,Novembre,25,21,Tarda,Desconegut,0,1,0,1,4,"4583496,91","432745,27"
2011S000693,10,"Sant Martí",104-10-69,"Diagonal Mar i el Front Marítim del Poblenou",700892,"Garcia Fària","0001 0001",Dimecres,3,Laboral,2011,2,Febrer,2,11,Matí,Desconegut,0,1,0,1,2,"4583440,55","433833,56"
2011S000156,10,"Sant Martí",105-10-66,"el Parc i la Llacuna del Poblenou",311703,"Sancho de Ávila","0152 0152",Dilluns,1,Laboral,2011,1,Gener,10,14,Tarda,Desconegut,0,1,0,1,2,"4583747,86","432727,61"
2011S002826,10,"Sant Martí",105-10-66,"el Parc i la Llacuna del Poblenou",144601,Diagonal,"0203 0203",Dimecres,3,Laboral,2011,4,Abril,27,09,Matí,Desconegut,0,1,0,1,2,"4583915,98","432332,60"
2011S005199,10,"Sant Martí",104-10-69,"Diagonal Mar i el Front Marítim del Poblenou",701266,"Litoral (Llobregat)",000640000,Dissabte,6,Laboral,2011,7,Juliol,30,18,Tarda,Desconegut,0,2,0,2,2,"4583845,40","434350,18"
2011S003681,10,"Sant Martí",105-10-66,"el Parc i la Llacuna del Poblenou",4908,Àlaba,0160X0160X,Dilluns,1,Laboral,2011,5,Maig,30,15,Tarda,Desconegut,0,1,0,1,2,"4583660,50","432060,00"
2011S001719,1,"Ciutat Vella",11-1-1,"el Raval",198804,Paral·lel,0060X0060X,Dilluns,1,Laboral,2011,3,Març,14,07,Matí,Desconegut,0,0,0,0,1,"4580736,85","430584,66"
2011S007360,1,"Ciutat Vella",11-1-1,"el Raval",701265,"Litoral (Besòs)",001110000,Dimarts,2,Laboral,2011,11,Novembre,1,23,Nit,Desconegut,0,2,0,2,2,"4580504,66","431171,19"
2011S003025,1,"Ciutat Vella",11-1-1,"el Raval",701266,"Litoral (Llobregat)",001110000,Dijous,4,Laboral,2011,5,Maig,5,12,Matí,Desconegut,0,2,0,2,2,"4580517,07","431152,05"
2011S003251,1,"Ciutat Vella",11-1-1,"el Raval",701349,Drassanes,"0001 0001",Dissabte,6,Laboral,2011,5,Maig,14,05,Nit,Desconegut,0,1,0,1,1,"4580688,12","431120,36"
2011S002561,1,"Ciutat Vella",11-1-1,"el Raval",701349,Drassanes,"0001 0001",Dimecres,3,Laboral,2011,4,Abril,13,16,Tarda,Desconegut,0,1,0,1,2,"4580688,12","431120,36"
2011S003252,1,"Ciutat Vella",11-1-1,"el Raval",701349,Drassanes,"0001 0001",Dissabte,6,Laboral,2011,5,Maig,14,06,Matí,Desconegut,0,1,0,1,1,"4580688,12","431120,36"
2011S003608,1,"Ciutat Vella",11-1-1,"el Raval",157909,Hospital,"0104 0108",Divendres,5,Laboral,2011,5,Maig,27,13,Matí,"Creuar per fora pas de vianants",0,1,0,1,1,"4581245,95","430411,38"
2011S004601,1,"Ciutat Vella",11-1-1,"el Raval",198258,"Marquès de Barberà","0020 0020",Dimecres,3,Laboral,2011,7,Juliol,6,08,Matí,Desconegut,0,1,0,1,2,"4581033,27","430729,32"
2011S005705,1,"Ciutat Vella",11-1-1,"el Raval",296600,"Sant Antoni Abat","0025 0025",Dilluns,1,Laboral,2011,8,Agost,29,17,Tarda,"Creuar per fora pas de vianants",0,1,0,1,1,"4581185,66","430180,77"
2011S000501,10,"Sant Martí",105-10-67,"la Vila Olímpica del Poblenou",701266,"Litoral (Llobregat)",000850000,Dimarts,2,Laboral,2011,1,Gener,25,09,Matí,Desconegut,0,1,0,1,4,"4582282,61","432948,69"
2011S007376,10,"Sant Martí",105-10-67,"la Vila Olímpica del Poblenou",197302,Marina,"0044 0044",Dimecres,3,Laboral,2011,11,Novembre,2,09,Matí,Desconegut,0,1,0,1,2,"4582507,80","432447,95"
2011S008123,10,"Sant Martí",105-10-67,"la Vila Olímpica del Poblenou",132908,"Ramon Trias Fargas","0014 0014",Dijous,4,Laboral,2011,12,Desembre,1,19,Tarda,"Creuar per fora pas de vianants",0,1,0,1,1,"4582084,63","432662,17"
2011S005245,10,"Sant Martí",105-10-67,"la Vila Olímpica del Poblenou",132908,"Ramon Trias Fargas","0021 0021",Dilluns,1,Laboral,2011,8,Agost,1,17,Tarda,Desconegut,0,0,0,0,2,"4582273,62","432444,59"
2011S000656,10,"Sant Martí",105-10-67,"la Vila Olímpica del Poblenou",700663,"Rosa Sensat","0017 0017",Dilluns,1,Laboral,2011,1,Gener,31,21,Tarda,Desconegut,0,1,0,1,2,"4582540,58","432735,86"
2011S003848,10,"Sant Martí",105-10-67,"la Vila Olímpica del Poblenou",132908,"Ramon Trias Fargas","0024 0024",Diumenge,7,Laboral,2011,6,Juny,5,18,Tarda,Desconegut,0,2,0,2,1,"4582287,45","432459,89"
2011S002396,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",34308,Rambla,"0012 0012",Divendres,5,Laboral,2011,4,Abril,8,03,Nit,"Creuar per fora pas de vianants",0,1,0,1,1,"4581014,57","431131,86"
2011S007211,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",269108,"Portal de la Pau","9998 9998",Dimarts,2,Laboral,2011,10,Octubre,25,10,Matí,Desconegut,0,1,0,1,2,"4580793,18","431243,02"
2011S005454,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",269108,"Portal de la Pau","9998 9998",Divendres,5,Laboral,2011,8,Agost,12,16,Tarda,Desconegut,0,1,0,1,3,"4580793,18","431243,02"
2011S008848,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",34308,Rambla,"0044 0044",Dissabte,6,Laboral,2011,12,Desembre,31,17,Tarda,"Creuar per fora pas de vianants",0,1,0,1,1,"4581221,77","431007,67"
2011S008830,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",34308,Rambla,"0056 0056",Divendres,5,Laboral,2011,12,Desembre,30,20,Tarda,Desconegut,0,1,0,1,2,"4581286,22","430967,79"
2011S004126,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",80000,Ciutat,"0005 0005",Dijous,4,Laboral,2011,6,Juny,16,12,Matí,Desconegut,0,0,0,0,1,"4581531,95","431254,17"
2011S007543,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",701265,"Litoral (Besòs)",001080000,Dimecres,3,Laboral,2011,11,Novembre,9,18,Tarda,Desconegut,0,1,0,1,3,"4580775,68","431300,53"
2011S007475,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",34308,Rambla,"0062 0062",Dilluns,1,Laboral,2011,11,Novembre,7,10,Matí,Desconegut,0,0,0,0,1,"4581319,16","430946,91"
2011S001173,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",177101,Laietana,"0019 0019",Dissabte,6,Laboral,2011,2,Febrer,19,17,Tarda,Desconegut,0,0,0,0,1,"4581661,10","431362,36"
2011S005129,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",82901,Colom,"0012 0012",Dimecres,3,Laboral,2011,7,Juliol,27,13,Matí,Desconegut,0,1,0,1,1,"4581248,92","431482,05"
2011S001594,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",82901,Colom,"0013 0013",Dimecres,3,Laboral,2011,3,Març,9,09,Matí,Desconegut,0,1,0,1,2,"4581237,52","431475,31"
2011S002821,1,"Ciutat Vella",11-1-1,"el Raval",16408,Àngels,"0002 0002",Dimecres,3,Laboral,2011,4,Abril,27,13,Matí,"Creuar per fora pas de vianants",0,1,0,1,1,"4581461,15","430514,05"
2011S005762,1,"Ciutat Vella",11-1-1,"el Raval",34308,Rambla,"0087 0087",Dijous,4,Laboral,2011,9,Setembre,1,13,Matí,Desconegut,0,1,0,1,2,"4581474,91","430803,01"
2011S000179,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",164802,"Jaume I","0019 0019",Dimarts,2,Laboral,2011,1,Gener,11,14,Tarda,Desconegut,0,1,0,1,2,"4581680,12","431299,76"
2011S006463,1,"Ciutat Vella",11-1-1,"el Raval",352100,Valldonzella,"0009 0009",Dimarts,2,Laboral,2011,9,Setembre,27,19,Tarda,Desconegut,0,1,0,1,1,"4581783,25","430301,40"
2011S007215,1,"Ciutat Vella",13-1-3,"la Barceloneta",199308,Barceloneta,"9999 9999",Dimarts,2,Laboral,2011,10,Octubre,25,13,Matí,Desconegut,0,1,0,1,2,"4581232,79","432101,41"
2011S001116,1,"Ciutat Vella",13-1-3,"la Barceloneta",224904,"Joan Borbó Comte Barcelona","0032 0032",Dijous,4,Laboral,2011,2,Febrer,17,20,Tarda,Desconegut,0,1,0,1,2,"4581125,17","432111,35"
2011S007898,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",700813,"Doctor Aiguader",0025X0025X,Dimecres,3,Laboral,2011,11,Novembre,23,05,Nit,Desconegut,0,2,0,2,1,"4581634,83","432097,06"
2011S004362,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",700813,"Doctor Aiguader","0027 0027",Diumenge,7,Laboral,2011,6,Juny,26,10,Matí,Desconegut,0,1,0,1,1,"4581747,92","432285,80"
2011S002994,1,"Ciutat Vella",13-1-3,"la Barceloneta",700813,"Doctor Aiguader","9998 9998",Dimecres,3,Laboral,2011,5,Maig,4,08,Matí,Desconegut,0,1,0,1,2,"4581521,97","432007,38"
2011S002556,1,"Ciutat Vella",13-1-3,"la Barceloneta",701266,"Litoral (Llobregat)",000970000,Dimecres,3,Laboral,2011,4,Abril,13,14,Tarda,Desconegut,0,0,1,1,2,"4581550,07","432010,14"
2011S006985,1,"Ciutat Vella",13-1-3,"la Barceloneta",145706,Ginebra,"0008 0008",Dilluns,1,Laboral,2011,10,Octubre,17,08,Matí,Desconegut,0,2,0,2,2,"4581416,98","432083,10"
2011S002833,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0002 0002",Dimecres,3,Laboral,2011,4,Abril,27,20,Tarda,Desconegut,0,1,0,1,2,"4581414,99","431649,18"
2011S003397,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0004 0004",Dijous,4,Laboral,2011,5,Maig,19,12,Matí,Desconegut,0,1,0,1,2,"4581428,97","431658,03"
2011S001674,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II",0014B0014B,Divendres,5,Laboral,2011,3,Març,11,17,Tarda,Desconegut,0,3,0,3,2,"4581519,65","431716,96"
2011S005059,1,"Ciutat Vella",13-1-3,"la Barceloneta",224904,"Joan Borbó Comte Barcelona","0007 0007",Diumenge,7,Laboral,2011,7,Juliol,24,10,Matí,Desconegut,0,1,0,1,2,"4581356,74","432044,96"
2011S003366,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,"0017 0017",Dimecres,3,Laboral,2011,5,Maig,18,13,Matí,"Creuar per fora pas de vianants",0,1,0,1,1,"4581564,95","431829,98"
2011S003395,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,"9999 9999",Dijous,4,Laboral,2011,5,Maig,19,13,Matí,Desconegut,0,1,0,1,1,"4581571,40","431732,03"
2011S001379,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,"9999 9999",Dilluns,1,Laboral,2011,2,Febrer,28,01,Nit,Desconegut,0,0,0,0,2,"4581571,40","431732,03"
2011S006244,1,"Ciutat Vella",13-1-3,"la Barceloneta",10900,"Almirall Cervera","0001 0001",Diumenge,7,Laboral,2011,9,Setembre,18,19,Tarda,Desconegut,0,2,0,2,2,"4581058,96","432136,91"
2011S007287,1,"Ciutat Vella",13-1-3,"la Barceloneta",197903,"Marítim de la Barceloneta","0015 0021",Divendres,5,Laboral,2011,10,Octubre,28,12,Matí,Desconegut,0,0,0,0,2,"4581480,89","432592,31"
2011S001573,1,"Ciutat Vella",13-1-3,"la Barceloneta",197903,"Marítim de la Barceloneta","0023 0031",Diumenge,7,Laboral,2011,3,Març,6,15,Tarda,Desconegut,0,1,0,1,1,"4581632,78","432664,28"
2011S006930,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",106704,"Duran i Bas","0016 0016",Divendres,5,Laboral,2011,10,Octubre,14,14,Tarda,Desconegut,0,0,0,0,1,"4581885,92","431001,18"
2011S003228,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",177101,Laietana,"0035 0035",Dijous,4,Laboral,2011,5,Maig,12,23,Nit,Desconegut,0,1,0,1,1,"4581899,12","431129,39"
2011S002614,1,"Ciutat Vella",13-1-3,"la Barceloneta",701266,"Litoral (Llobregat)",000890000,Divendres,5,Laboral,2011,4,Abril,15,10,Matí,Desconegut,0,1,0,1,2,"4582004,04","432661,51"
2011S004356,1,"Ciutat Vella",13-1-3,"la Barceloneta",701266,"Litoral (Llobregat)",000980000,Diumenge,7,Laboral,2011,6,Juny,26,00,Nit,Desconegut,0,1,0,1,2,"4581497,07","431924,65"
2011S007853,1,"Ciutat Vella",13-1-3,"la Barceloneta",132908,"Ramon Trias Fargas","0001 0001",Dissabte,6,Laboral,2011,11,Novembre,19,01,Nit,Desconegut,0,0,0,0,2,"4581893,42","432813,59"
2011S000387,2,Eixample,21-2-10,"Sant Antoni",169409,"Corts Catalanes","0384 0390",Dijous,4,Laboral,2011,1,Gener,20,08,Matí,Desconegut,0,1,0,1,2,"4580820,92","428967,75"
2011S004652,2,Eixample,21-2-10,"Sant Antoni",198804,Paral·lel,0194B0194B,Dijous,4,Laboral,2011,7,Juliol,7,19,Tarda,Desconegut,0,2,0,2,1,"4580770,10","429048,94"
2011S005960,2,Eixample,21-2-10,"Sant Antoni",213908,Mistral,"0073 0075",Divendres,5,Laboral,2011,9,Setembre,9,17,Tarda,Desconegut,0,1,0,1,2,"4580793,98","429213,52"
2011S008193,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",85400,Comerç,"0040 0040",Dilluns,1,Laboral,2011,12,Desembre,5,10,Matí,Desconegut,0,1,0,1,1,"4582004,74","431610,52"
2011S004780,2,Eixample,21-2-10,"Sant Antoni",198804,Paral·lel,"0172 0172",Dimecres,3,Laboral,2011,7,Juliol,13,12,Matí,Desconegut,0,1,0,1,2,"4580751,92","429392,97"
2011S006395,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",11200,Almogàvers,"0001 0009",Dilluns,1,Laboral,2011,9,Setembre,26,05,Nit,Desconegut,0,0,0,0,1,"4582507,80","431605,34"
2011S003027,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",201400,Picasso,"0018 0018",Dijous,4,Laboral,2011,5,Maig,5,14,Tarda,Desconegut,0,1,0,1,3,"4582065,65","431716,05"
2011S000682,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",87009,"Comte Borrell","0176 0176",Dimarts,2,Laboral,2011,2,Febrer,1,21,Tarda,Desconegut,0,1,0,1,2,"4581720,32","429284,16"
2011S004617,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",169409,"Corts Catalanes","0465 0465",Dimecres,3,Laboral,2011,7,Juliol,6,20,Tarda,Desconegut,0,2,0,2,2,"4581237,71","429319,47"
2011S005620,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",350308,València,"0002 0002",Dimarts,2,Laboral,2011,8,Agost,23,16,Tarda,Desconegut,0,1,0,1,2,"4581180,60","428529,83"
2011S001633,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",18505,Aragó,"0037 0037",Dijous,4,Laboral,2011,3,Març,10,14,Tarda,Desconegut,0,1,0,1,2,"4581236,74","428746,87"
2011S001893,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",169409,"Corts Catalanes","0427 0429",Diumenge,7,Laboral,2011,3,Març,20,18,Tarda,Desconegut,0,1,0,1,2,"4581088,02","429161,71"
2011S006647,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",18505,Aragó,"0026 0028",Dimarts,2,Laboral,2011,10,Octubre,4,12,Matí,Desconegut,0,1,0,1,2,"4581360,80","428904,78"
